"TA_CODE","TA_NAME","TA_DESC","QDIAL","TA_VERSION","STATE","CATEGORY","AREA","TA_CREATE","TA_LASTMOD"
"061WAF12Evenlode","River Evenlode from Moreton in Marsh to Cassington and also the River Glyme at Wootton and Woodstock","River Evenlode from Moreton in Marsh to Cassington including, Kingham, Bledington, Milton under Wychwood, Shipton under Wychwood, Ascott under Wychwood, Charlbury, Fawler and Long Hanborough and also the River Glyme at Wootton and Woodstock","171085","8","A","Flood Alert","Thames","2018-03-21","2018-05-23"
"112WATSVN1","Severn Estuary at Severn Beach","Severn Estuary at Severn Beach including New Passage and Pilning","210019","2","A","Flood Alert","Wessex","2018-03-15","2018-05-23"
"112WATSVN2","Severn Estuary at Oldbury-on-Severn, Northwick and Avonmouth","Severn Estuary at Oldbury-on-Severn, Northwick and Avonmouth including Aust and Old Passage","210020","2","A","Flood Alert","Wessex","2018-03-15","2018-05-23"
"065FAG009","Groundwater flooding in the Candovers and Old Alresford","Areas at risk of groundwater flooding in Preston Candover, Chilton Candover, Brown Candover and Old Alresford in Hampshire","216008","3","A","Flood Alert","Solent and South Downs","2018-03-22","2018-05-23"
"123FWB060","River Don and Dutch River at West Cowick","West Cowick including Spa Well Lane, High Street, Grange Road, Finnley's Lane and Little London Lane","137324","11","A","Flood Warning","Yorkshire","2020-09-24","2020-11-25"
"065WAF413","River Lavant","The River Lavant from Mid Lavant to Shopwhyke including Chichester","216082","15","A","Flood Alert","Solent and South Downs","2018-03-22","2018-05-23"
"011FWBWH","Whitehaven Sea Lock failure, town centre and North Shore Rd","Flooding of properties in Whitehaven Town Centre area","022418","12","A","Flood Warning","Cumbria and Lancashire","2020-07-09","2020-08-26"
"031FWFST40","River Stour at Kidderminster","River Stour at Kidderminster","309091","5","A","Flood Warning","West Midlands","2019-10-03","2019-12-10"
"064FAG41Caterham","Groundwater flooding in the Caterham Bourne catchment","Areas at risk of groundwater flooding in the Caterham Bourne catchment including Caterham, Whyteleafe, Kenley, Purley, South Croydon, Beddington and Carshalton","217002","4","A","Flood Alert","Kent, South London and East Sussex","2018-03-28","2018-05-23"
"064WAF32Esher","Lower River Mole area at Esher and East Molesey","River Mole at Esher and East Molesey including Walton on Thames, West Molesey and Thames Ditton","217011","6","A","Flood Alert","Kent, South London and East Sussex","2018-03-29","2018-05-23"
"033FWF3ANKR001","River Anker at Horeston Grange and Attleborough, Nuneaton","River Anker at Horeston Grange and Attleborough including Launceston Drive area, Kingfisher Court, Liberty Way, Pembroke Way, Attleborough Road, Seymour Road, Caarnarfon Drive, Ribbonbrook, Lister Street, Ribbonfields and Pingle Court","308007","8","A","Flood Warning","West Midlands","2018-12-20","2019-02-28"
"011FWCN4A","Cumbrian coastline at Duddon estuary, at Haverigg to Duddon Bridge, Foxfield, Dunnerholme","Duddon estuary including Haverigg, Arnaby Marsh, Foxfield Farm, Sandside and Dunnerholme","022414","6","A","Flood Warning","Cumbria and Lancashire","2021-01-11","2021-02-17"
"011FWCN5A","Cumbrian coastline at Barrow in Furness, around Biggar, Rampside and Vickerstown","Barrow in Furness including West Shore Park, Biggar Bank Road, Biggar, Tummer Hill Marshes, Rampside, Roa Island and Vickerstown","022415","7","A","Flood Warning","Cumbria and Lancashire","2019-07-03","2019-08-28"
"051WACDV4C","The Essex coast from Clacton to and including, St Peters Flat and the Colne and Blackwater estuaries","The Essex coast from Clacton to St Peters Flat, including Jaywick, Brightlingsea, Mersea Island, Heybridge, Maldon and the Colne and Blackwater estuaries","213660","11","A","Flood Alert","East Anglia","2018-06-25","2018-08-22"
"051WAFEF6BC","The Rivers Wid and Can","The River Wid from Brentwood, to and including Writtle, and the River Can at Chelmsford","213626","7","A","Flood Alert","East Anglia","2018-06-26","2018-08-22"
"011WACN1","Coast from Gretna to Silloth","Coastline from Gretna to Silloth","202043","15","A","Flood Alert","Cumbria and Lancashire","2018-06-28","2018-08-22"
"054WACDV3C","The Suffolk coast at Southwold","The Suffolk coast at Southwold, including Reydon Marshes","213576","10","A","Flood Alert","East Anglia","2018-06-26","2018-08-22"
"122WAF940","Lower River Ure","Low-lying land including agricultural land and local roads in the areas around Masham, Boroughbridge, Aldborough and Bishop Monkton","135303","12","A","Flood Alert","Yorkshire","2018-06-28","2018-08-22"
"123WAF972","Lower River Don catchment","River Don from Hexthorpe to Stainforth, including Swaith Dike and North Swaith Dike in Bentley","138218","11","A","Flood Alert","Yorkshire","2018-06-26","2018-08-22"
"011FWFNC11A","River Eden between Newby East and Low Crosby","Low lying land, roads and isolated properties adjacent to the River Eden between Newby East and Low Crosby","141009","5","A","Flood Warning","Cumbria and Lancashire","2019-07-03","2019-08-28"
"011FWFNC11C","River Eden at Low Crosby Village, Holme Ends and Holme Gate","Low lying roads, agricultural land and properties in Low Crosby Village, Holme Ends and Holme Gate","141011","3","A","Flood Warning","Cumbria and Lancashire","2014-08-18","2014-08-18"
"031WAF107","Brooks in the Wyre Forest","Mor, Borle, Dowles and Dick Brooks and their tributaries","209003","6","A","Flood Alert","West Midlands","2018-11-29","2019-02-28"
"011FWFNC14","River Cocker at Southwaite Bridge","Properties adjacent to the River Cocker at Southwaite Bridge, including Southwaite Mill","141016","4","A","Flood Warning","Cumbria and Lancashire","2018-06-28","2018-06-28"
"052WAFALCONBURY","Alconbury Brook in Cambridgeshire","Alconbury Brook at Hamerton, The Alconburys, Little Stukeley and Brampton","212080","5","A","Flood Alert","East Anglia","2021-12-14","2021-12-14"
"052WAFBOURN","Bourn Brook in Cambridgeshire","Bourn Brook from Caxton to Comberton","212130","6","A","Flood Alert","East Anglia","2021-12-14","2021-12-14"
"123FWF631","River Don at Rotherham - Centenary Way, Corporation Street and Sheffield Road","Rotherham including Centenary Way, Armer Street, Sheffield Road, Masbrough Street, College Road, Bridge Street, Corporation Street, Greasbrough Road, Frederick Street and the Bus Station","304113","11","A","Flood Warning","Yorkshire","2015-04-02","2015-06-24"
"011FWFNC1D","Appleby, Holme and Chapel Street and Cherry Row","Properties in Holme Street, Holme Court, parts of Chapel Street and Cherry Row liable to flooding from other sources","141048","4","A","Flood Warning","Cumbria and Lancashire","2020-06-26","2020-08-26"
"013WAFUI","Upper River Irwell catchment with Oldham, Bolton, Rochdale, Haslingden, Ramsbottom and Rawtenstall","Upper Irwell catchment includes the Rivers Beal, Roch and Croal, Limey Water and their tributaries. Other locations which may be affected are around Farnworth, Whitefield, Little Lever, Radcliffe, Bury, Heywood, Whitworth and Bacup","143002","21","A","Flood Alert","Greater Manchester, Merseyside and Cheshire","2022-01-17","2022-03-02"
"011FWFNC21","River Eden at Wetheral","Low lying roads, residential & commercial properties at Wetheral","141003","5","A","Flood Warning","Cumbria and Lancashire","2017-11-09","2017-11-09"
"012FWFL47A","Colne Water at Lenches around Mill Green and Dam Side","Low lying land and properties closest to the river on Mill Green, Dam Side and Green Road, including The Admiral Lord Rodney pub and Spring Gardens Mill","302171","5","A","Flood Warning","Cumbria and Lancashire","2021-06-16","2021-08-18"
"034WAF403","Rothley Brook and Quorn Brook in Leicestershire","Rothley Brook and tributaries from Thornton to the River Soar at Rothley. Quorn Brook and tributaries from Newtown Linford to the River Soar at Quorn","206005","8","A","Flood Alert","East Midlands","2022-01-27","2022-03-02"
"033FWF3ANKR008","River Anker at Amington, Tamworth","River Anker at Amington, Tamworth including Shuttington Road, Amington Old Hall, Amington Park, Filey, Selker Drive and Whitley Avenue","308014","5","A","Flood Warning","West Midlands","2017-06-09","2017-06-09"
"034WAF428","Lower River Soar in Leicestershire","Lower River Soar in Leicestershire including tributaries from Cossington to Redhill at the River Trent","206019","8","A","Flood Alert","East Midlands","2022-04-04","2022-05-25"
"052FWFIVBLUNHAM","River Ivel at Blunham","The Ridgeway, Wellsfield, High Street, Tempsford Road, Grange Road and Mill Lane in Blunham","312215","5","A","Flood Warning","East Anglia","2021-10-13","2021-11-24"
"114WACT1T1DA00","South Cornwall coast from Rame Head to Plymouth including tidal estuaries","Rame Head to Plymouth including Kingsand, Cawsand, Cremyll, Torpoint, Saltash, tidal rivers Tamar and Plym excluding Plymouth Barbican","211003","4","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-04-14","2022-05-25"
"123FWF632","River Don at Rotherham - Main Street, Centenary Road, Masbrough Street","Rotherham including Brinsworth Street, Sheffield Road, Don Street, Main Street, Masbrough Street and Central Road","304114","9","A","Flood Warning","Yorkshire","2015-04-02","2015-06-24"
"051WAFEF7C","The Mardyke to the River Thames at Purfleet","The Mardyke to the River Thames at Purfleet","213638","8","A","Flood Alert","East Anglia","2022-04-12","2022-05-25"
"114WAFT1W07A00","River Lynher","Rame Peninsula, Callington, Saltash, Rilla Mill, Pillaton and Landrake","211014","8","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-04-28","2022-05-25"
"121WAC928","Hartlepool to Cowbar","North Sea coastline including Hartlepool, Seaton Carew, Redcar, Saltburn by the Sea, Skinningrove and Cowbar","130204","15","A","Flood Alert","North East","2022-04-12","2022-05-25"
"123FWF633","River Don at Rotherham - Rawmarsh Road and Grafton Bridge","Rotherham including Rawmarsh Road and Rotherham Road at Grafton Bridge","304115","9","A","Flood Warning","Yorkshire","2015-04-02","2015-06-24"
"011FWFNC3CUM","River Caldew at Cummersdale, Factory","The Stead McAlpin Factory on Caldew Road and parts of the Cumbria Way Cycleway adjacent to the River Caldew at Cummersdale, Carlisle","302036","5","A","Flood Warning","Cumbria and Lancashire","2018-09-04","2018-11-28"
"054WAFSF3BC","The Thorpeness Hundred River and the River Ore","The Thorpeness Hundred River from Saxmundham to Aldringham, and the River Ore from Framlingham to Blaxhall","213518","8","A","Flood Alert","East Anglia","2022-04-12","2022-05-25"
"011FWFNC4E","River Derwent at Cockermouth, Gote Road to Derwent Mills area and Low Road","Residential and commercial properties adjacent to the River Derwent at Cockermouth, including Derwent Mills, Derwentside Gardens, Riverside Terrace, Wakefield Road, St Leonard's Close, Gote Road, Spital Ing Lane and Low Road areas","141021","10","A","Flood Warning","Cumbria and Lancashire","2019-12-10","2020-03-18"
"031WAF104","Tern and Perry catchments","Rivers Tern, Perry, Roden, Strine and Meese and their tributaries","209000","7","A","Flood Alert","West Midlands","2022-04-12","2022-08-24"
"054WAFSF4DE","The Rattlesden River and River Gipping, through and including Stowmarket and Needham Market","The Rattlesden River and River Gipping, including Lower Street, Rattlesden, the Ford at Wash Lane Onehouse, Combs Ford, Stowmarket. Hawks Mill Street, Crown Street and Coddenham Road in Needham Market","213017","9","A","Flood Alert","East Anglia","2022-04-12","2022-05-25"
"054WATBT1","The tidal Rivers Bure, Ant and Thurne","The tidal Rivers Bure from Wroxham Bridge, Ant from Honing and Thurne from Hickling, to Breydon Water","213300","7","A","Flood Alert","East Anglia","2022-04-12","2022-05-25"
"011FWFNC6C1","River Greta at Keswick, The Forge area","Properties adjacent to the River Greta in The Forge area","302048","3","A","Flood Warning","Cumbria and Lancashire","2018-11-29","2019-02-28"
"011FWFNC6C2","River Greta at Keswick, Lattrigg Close, Brundholme Gardens, Calvert's Bridge and Keswick Bridge","Properties adjacent to the River Greta in the Penrith Road, Brigham Row, Lattrigg Close, Brundholme Gardens, Calvert's Bridge and Keswick Bridge areas","302049","5","A","Flood Warning","Cumbria and Lancashire","2019-12-10","2020-03-18"
"011WACN5","Coast at Barrow in Furness","Coastline at Barrow in Furness","202047","14","A","Flood Alert","Cumbria and Lancashire","2019-07-03","2019-08-28"
"011WACN6","Coast at North Morecambe Bay","Coast at North Morecambe Bay from Roosebeck to Carnforth including low lying areas around Ulverston, Greenodd, Haverthwaite, Flookburgh, Grange-over-Sands, Levens, Milnthorpe, Sandside, Arnside and Silverdale","202048","12","A","Flood Alert","Cumbria and Lancashire","2019-07-03","2019-08-28"
"033FWF3ARR003","River Arrow at Coughton","River Arrow at Coughton including Coughton Court and Coughton Fields Lane","308018","7","A","Flood Warning","West Midlands","2017-06-09","2017-06-09"
"012FWCTL05A","Lancashire coastline at Sunderland, around Sunderland Point, Bazil Point and Potts Corner","Oxcliffe Hill Farm, Heaton, Bazil Point, Sunderland Point, Sunderland Brows Farm and Alderley Bank","302066","15","A","Flood Warning","Cumbria and Lancashire","2018-06-12","2018-06-12"
"031FWFSE490","River Severn at East Waterside, Upton upon Severn","River Severn at East Waterside, Upton upon Severn","309076","4","A","Flood Warning","West Midlands","2020-07-03","2020-08-26"
"013FWFCH35","River Bollin and Agden Brook at Little Bollington","Areas at risk include properties at and around Bollington Mill and Bollington Hall farm. Also at risk property on Lymm Road adjacent to Agden Brook","143167","4","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2018-03-26","2018-05-24"
"123FWF634","River Don at Rotherham - Thorn Hill, Northfield and Retail World Shopping Centre","Rotherham including Greasbrough Road, Drummond Street, Northfield Road, Effingham Street, St Anns Road, Erskine Road, Rotherham Road, The Gateway and Stadium Way. Includes Retail World Shopping Centre and Trading Estate","304116","10","A","Flood Warning","Yorkshire","2019-06-27","2019-08-28"
"013WATMEW","Mersey Estuary at Warrington","Areas at risk include Fiddlers Ferry, Eastford Road, Arpley Bridge, Knutsford Road, Howley, Kingsway North and Westy.","205003","2","A","Flood Alert","Greater Manchester, Merseyside and Cheshire","2017-06-28","2017-06-29"
"033FWF3AVON003","River Avon at Little Lawford and Newnham Grounds","River Avon at Little Lawford and Newnham Grounds including Little Lawford Lane","308024","5","A","Flood Warning","West Midlands","2017-06-09","2017-06-09"
"034FWFTRLOCKHEM","River Trent at Hemington Ponds, Hole and Fields","River Trent at Hemington Ponds, Hole and Fields area including properties around the B6540 and the M1","306166","8","A","Flood Warning","East Midlands","2021-07-27","2021-08-18"
"031FWFRW10","River Rea at Newnham Bridge","River Rea at Newnham Bridge","309041","3","A","Flood Warning","West Midlands","2013-06-06","2013-06-06"
"033FWF3AVON008","River Avon at Ashow and Blackdown","River Avon at Ashow and Blackdown areas","308028","6","A","Flood Warning","West Midlands","2020-01-09","2020-03-18"
"033WAF318","Lower Dove","Low-lying land and roads between Rocester and Clay Mills on the River Dove and the Egginton Brook at Egginton","208018","15","A","Flood Alert","West Midlands","2014-04-15","2014-07-03"
"062FWF28WDrayton","River Colne and Frays River at West Drayton and Stanwell Moor","The River Colne and Frays River at West Drayton and Stanwell Moor including Longford and Poyle","172702","19","A","Flood Warning","Hertfordshire and North London","2022-09-08","2022-11-02"
"052WAFLOCAM","Lower River Cam in Cambridgeshire","River Cam from Stapleford to Waterbeach","212140","2","A","Flood Alert","East Anglia","2016-03-22","2016-07-06"
"052WAFMIDOUSE","Middle River Great Ouse in Milton Keynes, Bedford Borough and Central Bedfordshire","Middle River Great Ouse from Newport Pagnell to Roxton","212040","2","A","Flood Alert","East Anglia","2016-03-30","2016-07-06"
"121FWF218","River Wear at Frosterley","Properties in low lying areas around Broadwood Lodge, Broadwood Plant, The Batts and The Old Vicarage on Church Lane","132701","5","A","Flood Warning","North East","2022-03-28","2022-05-25"
"052FWFKYMKGS","River Kym at Tilbrook, Kimbolton, Stonely and Great Staughton","Station Road in Tillbrook, Station Road, Thrapston Road, Carnaby, East Street and London Road in Kimbolton, Main Road in Stonely, and The Town and The Highway in Great Staughton","312302","10","A","Flood Warning","East Anglia","2022-07-06","2022-08-24"
"033FWF3BLITHE02","River Blithe at Blythe Park Industrial Estate, Cresswell","River Blithe at Blythe Park Industrial Estate, Cresswell including Aldbrough House","308036","6","A","Flood Warning","West Midlands","2017-05-25","2017-08-02"
"055WAF135TLW","Lower Welland","Lower Welland and other watercourses from Stamford to Spalding, including Market Deeping and Spalding","207029","10","A","Flood Alert","Lincolnshire and Northamptonshire","2017-08-17","2017-10-18"
"034FWFWYASHFRD","River Wye at Ashford in the Water","River Wye at Ashford in the Water including properties around Buxton Road","306202","8","A","Flood Warning","East Midlands","2018-04-19","2018-05-24"
"012FWFL28B","Pendle Water at Lomeshaye, football ground, Kirby Road and Lindred Road","Recreational areas and property in Lomeshaye including the football ground, Kirby Road, Churchill Way, Lindred Road and Lomeshaye Marsh","302133","11","A","Flood Warning","Cumbria and Lancashire","2021-06-16","2021-08-18"
"013WACNBH","Irish Sea from New Brighton to Hoylake","Areas at risk include land at the head of the Wirral from Hoylake to New Brighton and including parts of Leasowe and Wallasey.","205000","3","A","Flood Alert","Greater Manchester, Merseyside and Cheshire","2022-07-27","2022-08-24"
"012FWFL33C","Green Brook and Sweet Clough at Padiham, comprising Printers Fold, Burns Street to Greenbridge Mill","Properties in the vicinity of Printers Fold on Burns Street, Dryden Street, Shakespeare Street and Thompson Street up to Greenbridge Mill","302151","5","A","Flood Warning","Cumbria and Lancashire","2019-07-03","2019-08-28"
"062WAF51Stort","River Stort and Stansted Brook catchment","The River Stort, Stansted Brook and their tributaries from Clavering to Hoddesdon including Stanstead Mountfitchet, Bishops Stortford, Sawbridgeworth and Harlow","172126","17","A","Flood Alert","Hertfordshire and North London","2022-10-04","2022-11-02"
"061WAF23Oxford","River Thames and tributaries in the Oxford area","River Thames and tributaries in the Oxford area, including areas between Wolvercote down to and including Radley and Jericho","171176","10","A","Flood Alert","Thames","2022-11-10","2022-11-10"
"112WAFBCR","Bridgwater, Cannington and Combwich rivers","Huntworth Business Park Rhyne, Stockmoor Rhyne, Hamp Brook and Durleigh Brook in Bridgwater, Cannington Brook at Cannington, Combwich Brook at Combwich and the Stogursey area","210042","1","A","Flood Alert","Wessex","2022-07-15","2022-11-02"
"113WABTW15","South Devon Rivers","the Rivers Avon, Erme and Harbourne, coastal streams from Bigbury to Dartmouth, and Kingsbridge, South Brent and Ivybridge areas","211026","7","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-10-25","2022-11-07"
"113WABTW10","Lower Exe area","Lower River Exe from Tiverton to Exeter, including Bickleigh and Stoke Canon areas","211024","10","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-11-11","2022-11-11"
"113WACT2A","North Devon coast from Hartland Point to Lynmouth","Coastal and tidal areas between Hartland Point and Lynmouth, including the Taw Torridge estuary","211031","8","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-11-11","2022-11-11"
"113WAFTW04","Barnstaple, Braunton, Ilfracombe and Combe Martin area","Rivers Caen, Bradiford Water and Yeo and coastal streams from Braunton to Combe Martin","211034","9","A","Flood Alert","Devon, Cornwall and the Isles of Scilly","2022-11-11","2022-11-11"
"065FWF7001","Blackwater and Newport on the River Medina","Blackwater and Newport on the River Medina","316119","5","A","Flood Warning","Solent and South Downs","2020-09-03","2020-11-25"
"112FWFMCW20A","Midford Brook, Cam and Wellow Brooks","Cam Brook including Temple Bridge, Hallatrow and Camerton. Wellow Brook from Lower Writhlington to Midford including Wellow and the Midford Brook including Midford and Monkton Combe Mill","164192","11","A","Flood Warning","Wessex","2020-07-08","2020-09-03"
"012FWFL49B","River Brun at Burnley, Church Street, Keirby Walk","Properties on Church Street, Keirby Walk, Bank Parade, Hall Street and Bridge Street","302176","7","A","Flood Warning","Cumbria and Lancashire","2021-06-16","2021-08-18"
"061FWF23MillBk","Mill Brook from the Hagbourne Mill area to Winterbrook","Mill Brook from the Hagbourne Mill area to Winterbrook including South Moreton","171328","3","A","Flood Warning","Thames","2021-10-18","2021-11-24"
"012FWFL51","Walverden Water at Nelson","Properties in Nelson on and close to Riverside Business Park, Pendle Industrial Estate, Southfield Street, Brook Street, Sagar Street, Holme Street, Leeds Road, Pendle Community Hospital, Riverside Business Centre and Nelson and Colne College","302216","6","A","Flood Warning","Cumbria and Lancashire","2021-06-16","2021-08-18"
"011FWCN3A","Cumbrian coastline from St Bees Head to Haverigg, along the coast from North Head to Haverigg","St Bees Head to Haverigg including Seascale, Ravenglass, Saltcoats and beach front properties at Coulderton, Nethertown and Braystones","022413","9","A","Flood Warning","Cumbria and Lancashire","2022-03-18","2022-05-25"
"112FWFMON20B","Monksilver Stream at Williton, Doniford Road, Recreation Ground and Industrial Estate areas","North Road to Williton Industrial Estate including North Street, Doniford Road, Egrove Way, Slade Way and Roughmoor and the Recreation Ground including Brook Road, Kebbys Farm Close, Alder Close and Townsend","164227","6","A","Flood Warning","Wessex","2021-05-24","2021-05-24"
"012FWCTL22A","Lancashire coastline at Thurnham, around Cockersands Abbey, Thurnham Moss and Conder Green","Glasson, Chapel Hill, Plover Hill, Cockersand Abbey, Thurnham Moss, Banks Houses and Conder Bridge","302084","12","A","Flood Warning","Cumbria and Lancashire","2021-03-17","2021-03-17"
"012FWFL2D","River Wyre at Churchtown","The village of Churchtown","302140","2","A","Flood Warning","Cumbria and Lancashire","2021-01-13","2021-02-17"
"013FWFGM98","Honksford Brook at Mosley Common Road and Silk Mill Street","Areas at risk include properties adjacent to Honksford Brook at Mosley Common Rd, Bridgeford Rd, Silk Mill St, Bridge Mill Place & St John's Rd","143051","5","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2022-03-08","2022-03-08"
"013FWFM8","Ditton Brook at Halewood","Areas at risk include land and property in the vicinity of Cart Bridge, Green Bridge, and the kennels. Some property on Applewood Grove, Lightoaks drive, Cherrywood Avenue and Redoaks Way. Other property at risk are some caravans on Lower Road","305021","5","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2021-11-05","2021-11-24"
"051FWCDV4B12b","Holland Marshes","Holland Marshes, from Frinton Tennis Club and Golf Course to Valley Road in Holland-on-Sea","313659","6","A","Flood Warning","East Anglia","2018-06-19","2018-08-22"
"013FWFM5","Rainford Brook at Rainford South","Areas at risk include land and properties at Pasture Lane Business Centre, Pasture lane Bridge (lesser), and Villbrook Business centre","305018","4","A","Flood Warning","Greater Manchester, Merseyside and Cheshire","2018-03-23","2018-05-23"
